epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.406,0.96068,1.25003,0.9621,0.96151,0.97,0.98466,0.74842,0.81656,0.54172,0.87908,0.00333203,0.00333203,0.00333203
2,547.45,0.90636,0.63905,0.91946,0.96883,0.95818,0.98332,0.76932,0.77878,0.49064,0.88516,0.00659938,0.00659938,0.00659938
3,797.784,0.9165,0.60353,0.93475,0.96949,0.96102,0.97567,0.76052,0.77404,0.49305,0.89202,0.00980073,0.00980073,0.00980073
4,1047.32,0.89768,0.56691,0.93937,0.9734,0.95641,0.98196,0.78618,0.72084,0.44594,0.89425,0.009703,0.009703,0.009703
5,1299.84,0.85289,0.51882,0.93,0.97073,0.96596,0.98389,0.79934,0.70241,0.42048,0.88264,0.009604,0.009604,0.009604
6,1558.77,0.82406,0.49084,0.9272,0.97422,0.96602,0.9838,0.79869,0.69214,0.40326,0.88891,0.009505,0.009505,0.009505
7,1813.29,0.8076,0.47277,0.92356,0.97523,0.9649,0.98529,0.80848,0.68475,0.3863,0.89213,0.009406,0.009406,0.009406
8,2061.06,0.79336,0.45966,0.92317,0.97917,0.96453,0.98468,0.81169,0.68165,0.37288,0.89164,0.009307,0.009307,0.009307
9,2317.87,0.78349,0.44823,0.92097,0.97184,0.96668,0.98337,0.81113,0.66626,0.36955,0.88516,0.009208,0.009208,0.009208
10,2578.92,0.77642,0.43916,0.91717,0.97386,0.9649,0.98453,0.80652,0.66776,0.35949,0.89056,0.009109,0.009109,0.009109
11,2844,0.76733,0.42967,0.91553,0.9803,0.96623,0.9879,0.82054,0.65158,0.3428,0.88842,0.00901,0.00901,0.00901
12,3099.75,0.76249,0.42611,0.91552,0.98063,0.96413,0.98672,0.82335,0.65134,0.33976,0.88361,0.008911,0.008911,0.008911
13,3350.71,0.75656,0.41641,0.91548,0.97587,0.97013,0.98733,0.82757,0.64783,0.33512,0.88477,0.008812,0.008812,0.008812
14,3607.18,0.75235,0.41114,0.91327,0.97132,0.97237,0.98343,0.8208,0.64408,0.33124,0.88941,0.008713,0.008713,0.008713
15,3861.43,0.74532,0.41112,0.9137,0.97129,0.97311,0.98546,0.82384,0.63994,0.32647,0.88655,0.008614,0.008614,0.008614
16,4136.65,0.73923,0.40603,0.90779,0.97483,0.9691,0.98691,0.82686,0.64129,0.32251,0.88469,0.008515,0.008515,0.008515
17,4408.67,0.74026,0.40239,0.90968,0.97922,0.96763,0.98715,0.83157,0.63497,0.31364,0.88486,0.008416,0.008416,0.008416
18,4665.18,0.73962,0.39778,0.90878,0.97328,0.97199,0.98669,0.82832,0.63401,0.31495,0.88225,0.008317,0.008317,0.008317
19,4926,0.73262,0.39296,0.90854,0.97849,0.96938,0.98558,0.83384,0.62756,0.30333,0.88054,0.008218,0.008218,0.008218
20,5207.21,0.73408,0.3959,0.90957,0.98175,0.96404,0.9871,0.83421,0.63006,0.30409,0.88224,0.008119,0.008119,0.008119
21,5487.05,0.72915,0.393,0.90815,0.97974,0.96863,0.98606,0.83425,0.62609,0.30524,0.87808,0.00802,0.00802,0.00802
22,5742.66,0.72373,0.3895,0.9068,0.97957,0.96975,0.98611,0.83307,0.62472,0.29992,0.8814,0.007921,0.007921,0.007921
23,6000.46,0.72058,0.38182,0.90706,0.97822,0.96975,0.98732,0.83333,0.62175,0.29631,0.88197,0.007822,0.007822,0.007822
24,6262,0.72126,0.38142,0.90596,0.97449,0.97535,0.9857,0.837,0.61966,0.29476,0.88005,0.007723,0.007723,0.007723
25,6543.37,0.72185,0.3808,0.90573,0.97856,0.97155,0.98675,0.83872,0.61854,0.29212,0.87888,0.007624,0.007624,0.007624
26,6816.32,0.71971,0.37902,0.9057,0.98254,0.96683,0.98581,0.83521,0.61658,0.28846,0.87978,0.007525,0.007525,0.007525
27,7084.3,0.7177,0.37614,0.9052,0.97841,0.97162,0.98649,0.8354,0.6172,0.28789,0.88044,0.007426,0.007426,0.007426
28,7350.84,0.72039,0.37754,0.90777,0.97254,0.9761,0.98655,0.83714,0.61586,0.28845,0.88091,0.007327,0.007327,0.007327
29,7634.35,0.71362,0.3712,0.90632,0.97062,0.97797,0.98691,0.8385,0.61646,0.28574,0.88264,0.007228,0.007228,0.007228
30,7916.32,0.71173,0.37002,0.90492,0.9739,0.97523,0.98571,0.83854,0.61416,0.28326,0.88104,0.007129,0.007129,0.007129
31,8194.27,0.7095,0.37,0.90167,0.97241,0.97722,0.98602,0.8382,0.61315,0.2826,0.87759,0.00703,0.00703,0.00703
32,8465.08,0.70702,0.36731,0.90185,0.97182,0.97573,0.98525,0.83839,0.6133,0.28229,0.87777,0.006931,0.006931,0.006931
33,8735.54,0.70637,0.36489,0.90534,0.97353,0.97526,0.98562,0.83937,0.61428,0.28223,0.87864,0.006832,0.006832,0.006832
34,9081.37,0.7076,0.36257,0.90351,0.97743,0.9704,0.98653,0.84061,0.61364,0.28078,0.87907,0.006733,0.006733,0.006733
35,9397.9,0.70616,0.36286,0.89954,0.97122,0.97685,0.98648,0.84041,0.61183,0.27944,0.87695,0.006634,0.006634,0.006634
36,9669.9,0.70323,0.36135,0.90323,0.96792,0.98025,0.98663,0.84242,0.61064,0.27713,0.87726,0.006535,0.006535,0.006535
37,9942.22,0.70262,0.3575,0.90206,0.97069,0.97709,0.98618,0.84082,0.60954,0.2772,0.87817,0.006436,0.006436,0.006436
38,10204.3,0.70096,0.35923,0.90064,0.97923,0.96829,0.98738,0.84091,0.60899,0.27615,0.87778,0.006337,0.006337,0.006337
39,10468.6,0.69778,0.35384,0.89892,0.97002,0.97848,0.98707,0.84158,0.6088,0.2744,0.8777,0.006238,0.006238,0.006238
40,10735.6,0.69972,0.35531,0.90289,0.97023,0.97872,0.98686,0.84103,0.60848,0.27378,0.87791,0.006139,0.006139,0.006139
41,10998.8,0.69649,0.35027,0.89924,0.9725,0.9773,0.9867,0.84115,0.60746,0.27405,0.87733,0.00604,0.00604,0.00604
42,11258.7,0.69275,0.34835,0.90101,0.97219,0.97797,0.98682,0.84208,0.60722,0.27262,0.87702,0.005941,0.005941,0.005941
43,11523,0.69282,0.34939,0.89844,0.97177,0.97681,0.98663,0.84221,0.60622,0.27181,0.87653,0.005842,0.005842,0.005842
44,11783.1,0.69498,0.34926,0.90165,0.97284,0.97626,0.98615,0.84288,0.60605,0.27217,0.87638,0.005743,0.005743,0.005743
45,12036.7,0.693,0.34815,0.89791,0.98013,0.96863,0.98672,0.84309,0.60567,0.27169,0.87601,0.005644,0.005644,0.005644
46,12288.7,0.68727,0.34831,0.89772,0.98181,0.96741,0.98711,0.84421,0.60535,0.27089,0.87543,0.005545,0.005545,0.005545
47,12539.8,0.69033,0.34723,0.89904,0.98085,0.96826,0.9867,0.84379,0.60536,0.27016,0.87554,0.005446,0.005446,0.005446
48,12790.9,0.68777,0.34441,0.8969,0.97462,0.97508,0.98669,0.84307,0.60492,0.26929,0.87533,0.005347,0.005347,0.005347
49,13044.6,0.68811,0.34097,0.89954,0.97462,0.97491,0.98583,0.84216,0.60513,0.26898,0.87552,0.005248,0.005248,0.005248
50,13301.6,0.68331,0.34051,0.89571,0.97338,0.97685,0.98585,0.84257,0.60505,0.26895,0.87565,0.005149,0.005149,0.005149
51,13560.6,0.6826,0.34108,0.89614,0.97283,0.97613,0.98578,0.84256,0.60484,0.26844,0.87568,0.00505,0.00505,0.00505
52,13828.1,0.68319,0.33855,0.89683,0.97249,0.97678,0.98636,0.84251,0.6048,0.26856,0.87571,0.004951,0.004951,0.004951
53,14099.3,0.68044,0.33543,0.89705,0.97248,0.97661,0.98647,0.84284,0.60484,0.26811,0.87584,0.004852,0.004852,0.004852
54,14381,0.6831,0.33752,0.8981,0.97232,0.97647,0.98673,0.84367,0.6045,0.26795,0.87584,0.004753,0.004753,0.004753
55,14636.4,0.68181,0.33643,0.89915,0.97151,0.97647,0.98692,0.84303,0.60468,0.26767,0.87606,0.004654,0.004654,0.004654
56,14892.6,0.67976,0.334,0.89473,0.97245,0.97647,0.9872,0.84253,0.60453,0.26792,0.87593,0.004555,0.004555,0.004555
57,15146.7,0.67954,0.33258,0.89269,0.98019,0.96901,0.98711,0.84247,0.60441,0.2678,0.87592,0.004456,0.004456,0.004456
58,15400,0.67615,0.33167,0.89302,0.97992,0.96863,0.98667,0.8423,0.60425,0.26733,0.87565,0.004357,0.004357,0.004357
59,15653.8,0.67476,0.33185,0.88988,0.98076,0.96863,0.98657,0.842,0.60406,0.26695,0.87554,0.004258,0.004258,0.004258
60,15931.4,0.6742,0.32843,0.89413,0.98075,0.96826,0.98651,0.84232,0.6038,0.26677,0.87547,0.004159,0.004159,0.004159
